run_dir,tag,Delta_Z_calc,Delta_Z_true,abs_error,rel_error,J,w_max,dh_raw,doppler_factor,W_z_meet,status
D:\PYTHON\layout design\V_Wave_Data\20260310_145055,20260310_145055,119.40277054043781,121.88215998123312,2.479389440795302,0.02034251313873226,2.479389440795302,0.30131779420137184,109.61505802522996,1.0892916784567594,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_145559,20260310_145559,99.83170077963958,94.92139940227453,4.910301377365045,0.0517301831650765,4.910301377365045,0.11720135700816635,89.43040237241178,1.1163060674144576,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_161429,20260310_161429,81.54711154314202,83.23891270469514,1.6918011615531157,0.020324642725152855,1.6918011615531157,0.1158406925906254,73.0657245169354,1.1160788739491767,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_163551,20260310_163551,163.15369427078423,148.48623735879738,14.667456911986847,0.09877990831261266,14.667456911986847,0.3697998146284703,148.39063067813183,1.0994878418211886,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_163554,20260310_163554,133.48720643724832,131.23533522208217,2.2518712151661475,0.017159031227035253,2.2518712151661475,0.21691986612041408,122.35133552361145,1.0910155239906463,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_163556,20260310_163556,156.25477534851538,144.76846054501362,11.486314803501756,0.0793426604127648,11.486314803501756,0.21150850516605732,141.29267190708083,1.1058944051342887,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_163557,20260310_163557,100.51001366712298,107.65010322480316,7.140089557680184,0.06632682499866911,7.140089557680184,0.21487415580004135,92.52232588894657,1.0863325440798357,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_163559,20260310_163559,128.51670517206662,123.92750159493805,4.589203577128572,0.03703135718921023,4.589203577128572,0.2122627867870483,116.92845067855552,1.099105516461242,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202157,20260310_202157,93.2093663940116,95.10388163589053,1.8945152418789348,0.019920482837200812,1.8945152418789348,0.23819258357430345,85.24742688072061,1.093398003958893,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202159,20260310_202159,107.3787127584515,116.11609390925392,8.73738115080242,0.0752469434394752,8.73738115080242,0.19845455852752805,98.86783499081943,1.0860833836244352,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202200,20260310_202200,94.21002172020071,94.72657464134983,0.5165529211491133,0.005453094056286385,0.5165529211491133,0.1207290392829548,84.85406170561147,1.1102594245523374,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202202,20260310_202202,107.71209078188495,115.81604861618263,8.103957834297674,0.06997266726958022,8.103957834297674,0.1957431503064827,99.13073245355837,1.0865660740713972,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202203,20260310_202203,100.8290543601833,98.53381757523861,2.2952367849446915,0.023293898901177668,2.2952367849446915,0.16201852860764515,89.90874987962346,1.1214598634190862,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202204,20260310_202204,94.88748430282175,99.85735806724226,4.969873764420512,0.04976973014921828,4.969873764420512,0.15142899302309937,86.52614334278442,1.096633695170173,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202206,20260310_202206,107.70287185277652,105.1272677406586,2.5756041121179294,0.024499867327207242,2.5756041121179294,0.2196535815860388,96.93998362795877,1.1110263053697649,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202207,20260310_202207,109.56531029908069,112.79356058471893,3.2282502856382393,0.028620874001167022,3.2282502856382393,0.20803776578864602,99.8703309832741,1.097075670225127,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202209,20260310_202209,129.87745639524985,121.839648881974,8.037807513275851,0.06597037653204393,8.037807513275851,0.1570015015153417,115.94976543342334,1.1201183194270763,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260310_202210,20260310_202210,122.05822117300342,115.80868911375433,6.249532059249091,0.05396427597164511,6.249532059249091,0.16076094499911858,109.37879126309929,1.1159221981106473,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125800,20260316_125800,150.67860327252427,130.10689841281166,20.57170485971261,0.15811386721741197,20.57170485971261,0.1828436788517576,135.132396962602,1.1150442577750226,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125801,20260316_125801,130.91506928246054,125.19573596472479,5.719333317735746,0.045683131886753936,5.719333317735746,0.2030024392496406,117.98636274733839,1.1095779735392666,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125802,20260316_125802,95.1775767842815,95.99658703498919,0.8190102507076915,0.008531660093386191,0.8190102507076915,0.11229587676484237,84.9796433681553,1.1200044270831537,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125804,20260316_125804,100.72791752588527,107.1107850386764,6.3828675127911225,0.059591268148080016,6.3828675127911225,0.18036176611807153,92.41367608114038,1.0899676519462864,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125805,20260316_125805,150.90167320554625,147.2140457420109,3.6876274635353354,0.025049426805359418,3.6876274635353354,0.3537234889750597,137.25420990659325,1.0994320196680352,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125816,20260316_125816,93.56151278838021,98.25620949864671,4.6946967102664985,0.04778015286994313,4.6946967102664985,0.15309405661357897,85.9884772522207,1.0880703528909617,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125818,20260316_125818,88.90517876512688,97.8521913106433,8.94701254551643,0.09143395181731888,8.94701254551643,0.17566164977636115,82.23995038331694,1.0810461138503074,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125819,20260316_125819,156.53536988072503,149.65586935684433,6.879500523880694,0.045968798640813664,6.879500523880694,0.2864330033504698,142.8688138781818,1.095658077025796,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125820,20260316_125820,141.903460917929,141.25052548133021,0.6529354365987956,0.004622534566677399,0.6529354365987956,0.2767254618873721,129.7673916383311,1.093521717022885,1.0,ok
D:\PYTHON\layout design\V_Wave_Data\20260316_125822,20260316_125822,151.0024612049182,139.49657235144764,11.505888853470566,0.08248151663886502,11.505888853470566,0.18646769847266426,134.34895407053236,1.1239571029756052,1.0,ok
