eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
1,0.2,-25.0,0.6,6.2,0.3,6.315581869537354,3.348868548290677,0.7,0.3,5.425567873163351,0
2,0.1,-40.0,0.4,6.2,0.2,9.56573254563372,3.240673315317374,0.7,0.3,7.668214776538816,0
3,0.1,-40.0,0.4,0.2,0.2,5.952801185087469,3.9242649655286974,0.7,0.3,5.344240319219837,0
4,0.05,-35.0,0.8,2.2,0.4,7.494546577016524,2.88950355627791,0.7,0.3,6.113033670794939,0
5,0.15,-35.0,0.2,0.2,0.1,6.1752304794695005,4.71924186326675,0.7,0.3,5.738433894608676,0
6,0.1,-25.0,0.8,0.2,0.4,6.33152419955182,3.194739123305704,0.7,0.3,5.390488676677984,0
7,0.05,-30.0,0.4,10.0,0.2,6.0912419934257,4.7568647460678335,0.7,0.3,5.69092881921834,0
8,0.2,-45.0,0.2,8.2,0.1,6.41528751387204,3.590038124681932,0.7,0.3,5.567712697115008,0
9,0.1,-25.0,0.2,8.2,0.1,6.472355988601666,5.567594540833658,0.7,0.3,6.200927554271263,0
10,0.15,-40.0,0.8,4.2,0.4,6.858898331543742,2.734451303832106,0.7,0.3,5.6215642232302505,0
11,0.15,-45.0,0.4,0.2,0.2,7.906616842503825,3.104006294207849,0.7,0.3,6.465833678015032,0
12,0.05,-25.0,0.4,6.2,0.2,7.035936323204566,2.854016059637704,0.7,0.3,5.781360244134507,0
13,0.1,-40.0,0.2,8.2,0.1,6.275732782026713,5.1646948279560565,0.7,0.3,5.942421395805516,0
14,0.2,-45.0,0.8,4.2,0.4,6.443984247705268,2.9158542184865945,0.7,0.3,5.385545238939666,0
15,0.05,-40.0,0.2,10.0,0.1,6.524294039040845,5.645033945016865,0.7,0.3,6.26051601083365,0
16,0.15,-25.0,0.6,10.0,0.3,6.138486594016977,3.708681968278888,0.7,0.3,5.40954520629555,0
17,9999.0,-25.0,0.4,8.2,0.2,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
18,9999.0,-40.0,0.4,0.2,0.2,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
19,0.05,-40.0,0.4,10.0,0.2,5.898778866469739,4.126124712109965,0.7,0.3,5.366982620161806,0
20,0.15,-35.0,0.8,8.2,0.4,6.630681598003962,2.868999969828551,0.7,0.3,5.502177109551338,0
21,0.05,-30.0,0.4,2.2,0.2,6.089100428290392,4.751822927939134,0.7,0.3,5.687917178185014,0
22,0.1,-45.0,0.4,10.0,0.2,6.070000795125927,3.648640618798866,0.7,0.3,5.343592742227808,0
23,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
24,0.1,-45.0,0.4,10.0,0.2,6.070000795125927,3.648640618798866,0.7,0.3,5.343592742227808,0
25,0.1,-20.0,0.4,2.2,0.17731999999999998,6.2877411899184175,5.219611102497393,0.7,0.3,5.96730216369211,0
26,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
27,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
28,0.1,-35.0,0.6,0.2,0.3,6.348107772412632,3.159934781022253,0.7,0.3,5.391655874995518,0
29,9999.0,-30.0,0.6,0.2,0.3,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
30,0.2,-45.0,0.4,4.2,0.2,6.319341129564379,3.308542816728723,0.7,0.3,5.416101635713682,0
31,0.1,-20.0,0.4,6.2,0.17731999999999998,6.300785394494341,5.221888404818939,0.7,0.3,5.977116297591719,0
32,0.1,-40.0,0.4,0.2,0.2,5.952801185087469,3.9242649655286974,0.7,0.3,5.344240319219837,0
33,0.1,-35.0,0.6,0.2,0.3,6.348107772412632,3.159934781022253,0.7,0.3,5.391655874995518,0
34,9999.0,-40.0,0.4,6.2,0.2,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
35,0.2,-35.0,0.4,0.2,0.2,6.443205382024552,2.9026533679326034,0.7,0.3,5.381039777796968,0
36,0.1,-30.0,0.4,2.2,0.2,6.012514799045078,4.4241931877406175,0.7,0.3,5.536018315653739,0
37,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
38,0.1,-40.0,0.8,0.2,0.4,7.76332719661072,2.866513115596957,0.7,0.3,6.294282972306591,0
