group,dh,true_h0,error_pct,t_w0,t_U
20260310_145055,136.68831765407515,121.88215998123312,12.147928519745482,1235.0,3105.0
20260310_145559,104.0373549924098,94.92139940227452,9.603688575536127,910.0,3285.0
20260310_161429,86.95115204008711,83.23891270469514,4.459740300262931,1115.0,3485.0
20260310_163551,189.1366904511532,148.48623735879738,27.376579685381447,1030.0,3030.0
20260310_163554,150.74950881627703,131.23533522208217,14.869603191222945,1105.0,3005.0
20260310_163556,173.34594922902136,144.76846054501362,19.740134402494377,1070.0,3250.0
20260310_163557,114.18245774508176,107.65010322480316,6.068135862942209,1320.0,3130.0
20260310_163559,143.47153005823472,123.92750159493804,15.770533748979384,1070.0,3120.0
20260310_202157,103.98350864391708,95.10388163589052,9.336766129086728,1165.0,3110.0
20260310_202159,123.13207805821528,116.11609390925392,6.042215090738778,1330.0,3140.0
20260310_202200,100.56349159253624,94.72657464134984,6.161857929821634,1070.0,3330.0
20260310_202202,123.04941185327432,115.81604861618264,6.245562099138131,1345.0,3160.0
20260310_202203,108.91283909024334,98.5338175752386,10.533461272907134,1105.0,3570.0
20260310_202204,105.21577199898708,99.85735806724226,5.36606819513144,1235.0,3245.0
20260310_202206,118.53309186851445,105.1272677406586,12.7519951920819,1140.0,3140.0
20260310_202207,123.71436911502556,112.79356058471892,9.682120569377751,1270.0,3290.0
20260310_202209,138.90535732741114,121.839648881974,14.006695359052356,1055.0,3500.0
20260310_202210,131.62542540281498,115.80868911375433,13.657642107946232,1045.0,3410.0
20260316_125800,159.58421408661158,130.10689841281166,22.65622809658591,885.0,3235.0
20260316_125801,145.6690933006433,125.1957359647248,16.353078783519514,1105.0,3355.0
20260316_125802,100.54993946663622,95.9965870349892,4.743244080112354,1115.0,3555.0
20260316_125804,113.78507625343596,107.1107850386764,6.23120371337915,1235.0,3115.0
20260316_125805,175.33625325112322,147.2140457420109,19.10293774440233,1270.0,3270.0
20260316_125816,103.98253227332395,98.25620949864673,5.8279500134351565,1130.0,2970.0
20260316_125818,100.82314629316468,97.8521913106433,3.036166020124915,1330.0,3040.0
20260316_125819,180.20339846950552,149.6558693568443,20.41184835846475,1115.0,3105.0
20260316_125820,163.89056069709815,141.2505254813302,16.02828388681668,1235.0,3185.0
20260316_125822,164.65194685718654,139.49657235144764,18.03296961473896,1105.0,3615.0
20260316_125823,119.34304302364458,115.1757527906915,3.6182009945498512,1345.0,3025.0
20260316_125825,97.4386823864174,90.23725010115136,7.980553792578545,1010.0,3170.0
20260316_125826,122.65583905321172,113.52528967109907,8.042744844400142,1355.0,3175.0
20260316_125828,137.9363941601085,125.94306276515962,9.522820178918735,1390.0,3025.0
20260316_125829,130.51219752013736,117.92237455706018,10.676364863213664,1260.0,3050.0
20260316_125830,131.26089645264395,108.62505682851229,20.83850658864755,885.0,2885.0
20260316_125832,177.24923425397498,141.34934988069526,25.39798336786177,865.0,3160.0
20260316_125833,82.14324386947294,81.27567810603207,1.067435896762425,1165.0,3350.0
